EVENTO;UF;CN;;MUNICÍPIO;COORDENAÇÃO;SITE;DATA CRIAÇÃO;GESTOR ATUAL;PREVISÃO SOBRESSALENTE
284728540;PB;83;A+;MONTEIRO;;MER;02/12/2022 22:56:50;O&M ACESSO VIVO_N1_NE;-
285353852;RN;84;A+;SANTANA DO MATOS;;SDM;07/12/2022 02:20:59;O&M ACESSO VIVO_N1_NE;-
286274402;PI;86;A+;CAJUEIRO DA PRAIA;PARNAÍBA;CRP;13/12/2022 02:35:41;O&M ACESSO VIVO_N1_NE;-
301386762;BA;;A;SALVADOR;BA-CAPITAL;SOM;11/05/2023 21:51:48;ICOMON_O&M-BA_SE (Terceiro);-
301916672;BA;75;C;MARAGOGIPE;BA-SUL;MGP;19/05/2023 22:07:00;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
302088796;CE;88;A+;BELA CRUZ;;BCZ;22/05/2023 22:31:41;O&M ACESSO VIVO_N1_NE_Sobressalente;-
304292865;AL;82;D;SÃO LUÍS DO QUITUNDE;;LQU;14/07/2023 21:45:23;O&M ACESSO VIVO_N1_NE_Fatura_B;-
307385090;BA;;A+;JOÃO DOURADO;BA-NORTE;DRD;17/10/2023 21:29:38;O&M ACESSO VIVO_N1_BA/SE;-
312489793;BA;71;A;SALVADOR;BA-CAPITAL;TCS;29/02/2024 03:02:12;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
314647269;AL;82;C;IGREJA NOVA;;IGN;24/04/2024 23:47:46;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
314933101;CE;;B;COREAÚ;;CAQ;02/05/2024 09:53:39;ICOMON_O&M-NE (Terceiro);-
314933901;BA;;B;SÍTIO DO MATO;BA-OESTE;FBJ;02/05/2024 09:58:47;O&M ACESSO VIVO_N1_BA/SE;-
314933909;CE;;C;SABOEIRO;;SBJ;02/05/2024 09:58:49;O&M ACESSO VIVO_N1_NE_Fatura_B;-
314934677;BA;;A+;BREJOLÂNDIA;;BJA;02/05/2024 10:04:44;O&M ACESSO VIVO_N1_BA/SE;-
314948793;SE;;C;CAPELA;;SEC;02/05/2024 14:11:37;O&M ACESSO VIVO_N1_BA/SE;-
