,EVENTO,UF,MUNICÍPIO,SITE,ROTA,DATA CRIAÇÃO,GESTOR ATUAL,PREVISÃO SOBRESSALENTE,Ação,Prazo,Status,Fabricante,Modelo,Cod_Modelo,SS,Afetação
0,301916672,BA,MARAGOGIPE,MGP,BA-NORTE,19/05/2023 22:07:00,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,ASNK4 GE9471-41,,Sobressalente,SIAE,ODU ASNK7,GE9471-41,8185,Analisar
1,307385090,BA,JOÃO DOURADO,DRD,BA-NORTE,17/10/2023 21:29:38,O&M ACESSO VIVO_N1_BA/SE,-,OS:585272938 - Aprovação Adroaldo,09/01/2025,Vivo Avaliar,,,,,Analisar
2,312489793,BA,SALVADOR,TCS,BA-CAPITAL,29/02/2024 03:02:12,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,SS: 9469 3200 MULTI PRT,45590,Sobressalente,MARCONI,3200 MULTI PRT,151-3111/21.04,9469,Sem Impacto
3,314933901,BA,SÍTIO DO MATO,FBJ,BA-OESTE,02/05/2024 09:58:47,O&M ACESSO VIVO_N1_BA/SE,-,"23/04 - Gerencia de Radio, solicitado Jobson encerrar",,Vivo Avaliar,,,,,
4,314934677,BA,BREJOLÂNDIA,BJA,BA-OESTE,02/05/2024 10:04:44,O&M ACESSO VIVO_N1_BA/SE,-,,,Vivo Avaliar,,,,,
5,315149094,BA,PILÃO ARCADO,XPO,BA-NORTE,07/05/2024 08:51:28,ICOMON_O&M-BA_SE (Terceiro),-,,,Icomon Atuando,,,,,
6,315520684,BA,SALVADOR,CRZ,BA-CAPITAL,15/05/2024 21:19:47,ICOMON_O&M-BA_SE (Terceiro),-,,,Icomon Atuando,,,,,
7,316646294,BA,SÃO SEBASTIÃO DO PASSÉ,SFO,BA-CAPITAL,12/06/2024 09:32:16,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,SS 10315 (PENDENTE) FAN-CV,45590,Sobressalente,NEC ,FAN-CV,NWA-096349-001,10315,Sem Impacto
8,317058724,BA,CAETITÉ,FZS,BA-OESTE,22/06/2024 00:34:18,O&M ACESSO VIVO_N1_BA/SE,-,,,Vivo Avaliar,,,,,
9,317082675,BA,LUÍS EDUARDO MAGALHÃES,LED,BA-OESTE,22/06/2024 16:53:38,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,23/04 #SS: 12636  - Segundo Eleny não tem sobressalente disponivel em outra BASE.,,Sobressalente,ERICSSON,Triplex Filter,KRF102413/1,12636*,
10,318267122,BA,VÁRZEA DA ROÇA,VDR,BA-NORTE,19/07/2024 17:36:29,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,0,15/02/2025,Sobressalente,ERICSSON,RRUS12B5,KRC161321/2,10597,2G
11,318376937,BA,SÃO SEBASTIÃO DO PASSÉ,SFO,BA-CAPITAL,22/07/2024 16:12:41,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,FALHA DE ENCERRAMENTO,00/01/1900,Sobressalente,ERICSSON,ACCU-05-DU,BMG98037/1,11339,2G
12,318609658,BA,SALVADOR,PPT,BA-CAPITAL,26/07/2024 15:41:10,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,ERICSSON,DIPLEX FILTER HIGH,KRF102301/2,11393,Sem Impacto
13,319985507,BA,JUSSARA,QNA,BA-NORTE,21/08/2024 01:45:22,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,ERICSSON,RRUS12B5,KRC161321/2,12530,
14,320191389,BA,OLINDINA,OLC,BA-NORTE,23/08/2024 18:31:45,O&M ACESSO VIVO_N1_BA/SE,-,Tramitado Icomon,09/01/2025,Vivo Avaliar,,,,,Analisar
